"state","zcta5","cbsa10","stab","cbsaname10","zipname","pop10","afact"
"01","35180","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Warrior, AL",13794,1
"01","35183","10760","AL","Alexander City, AL Micropolitan Statistical Area","Weogufka, AL",706,1
"01","35184","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","West Blocton, AL",5841,1
"01","35186","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Wilsonville, AL",4931,1
"01","35187","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Wilton, AL",32,1
"01","35188","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Woodstock, AL",2492,0.918
"01","35188","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","Woodstock, AL",223,0.082
"01","35203","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",3798,1
"01","35204","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",10337,1
"01","35205","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",19686,1
"01","35206","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",17177,1
"01","35207","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",9010,1
"01","35208","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",14855,1
"01","35209","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Homewood, AL",29544,1
"01","35210","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Irondale, AL",13952,1
"01","35211","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",26236,1
"01","35212","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",11539,1
"01","35213","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Mountain Brook, AL",13185,1
"01","35214","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Forestdale, AL",19592,1
"01","35215","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",46951,1
"01","35216","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Vestavia Hills, AL",36408,1
"01","35217","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Tarrant, AL",13729,1
"01","35218","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",7353,1
"01","35221","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",4834,1
"01","35222","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",7884,1
"01","35223","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Mountain Brook, AL",11043,1
"01","35224","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Birmingham, AL",6094,1
"01","35226","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Hoover, AL",31471,1
"01","35228","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","Midfield, AL",10419,1
